id,developer
1000248,Atari
1000248,Sears
1000249,"Atari, Inc."
1000249,Atari
1000250,Atari
1000251,Taito
1000252,Dave Nutting Associates
1000252,Midway Manufacturing
1000253,Taito
1000254,Dave Nutting Associates
1000254,Midway Manufacturing
1000255,Video Games GmbH
1000255,Atari
1000257,Taito
1000257,Midway Manufacturing
1000258,Exidy
1000258,Taito
1000259,"Sega Enterprises, Ltd."
1000260,General Instrument Microelectronic
1000261,Midway Manufacturing
1000261,Arcade Engineering
1000262,"Sega Enterprises, Ltd."
1000264,General Instrument Microelectronic
1000265,General Instrument Microelectronic
1000267,Exidy
1000268,Texas Instruments Incorporated
1000269,Project Support Engineering
1000270,Mattel Electronics
1000271,Namco
1000272,General Instrument Microelectronic
1000273,Exidy
1000274,General Instrument Microelectronic
1000275,Midway Manufacturing
1000276,Dave Nutting Associates
1000276,Midway Manufacturing
1000277,Atari
1000277,"Atari, Inc."
1000278,General Instrument Microelectronic
1000279,Fairchild Semiconductor
1000280,"Talleres Radioelectricos Querol, SL"
1000280,Atari
1000281,General Instrument Microelectronic
1000283,Bally Manufacturing
1000283,Dave Nutting Associates
1000284,Atari
1000285,Atari
1000286,General Instrument Microelectronic
1000288,Philips
1000289,Philips
1000290,Philips
1000291,Atari
1000292,Taito
1000293,Midway Manufacturing
1000293,Taito
1000294,Atari
1000295,Taito
1000297,Magnavox
1000298,Leijac
1000298,Konami
1000299,Magnavox
1000300,Magnavox
1000301,Magnavox
1000302,Fairchild Semiconductor
1000303,Fairchild Semiconductor
1000304,Fairchild Semiconductor
1000305,Fairchild Semiconductor
1000306,Fairchild Semiconductor
1000307,Fairchild Semiconductor
1000308,Fairchild Semiconductor
1000309,Fairchild Semiconductor
1000310,Infocom
1000311,Atari
1000312,Bally Manufacturing
1000312,Dave Nutting Associates
1000313,"Astrocade, Inc."
1000313,Dave Nutting Associates
1000314,Bally Manufacturing
1000314,Dave Nutting Associates
1000315,Atari
1000316,Nintendo R&D1
1000316,Nintendo
1000317,Meadows Games
1000318,Midway Manufacturing
1000318,Dave Nutting Associates
1000319,Taito
1000320,Sears
1000320,Dave Nutting Associates
1000321,My Arcade
1000321,Taito Corporation
1000322,Leijac
1000322,Konami
1000323,"Sega Enterprises, Ltd."
1000324,Gremlin Industries
1000325,Sears
1000325,Dave Nutting Associates
1000326,Atari
1000327,Atari
1000328,Dave Nutting Associates
1000328,Midway Manufacturing
1000329,"Sega Enterprises, Ltd."
1000330,"Sega Enterprises, Ltd."
1000331,Atari
1000331,Subelectro
1000332,The Software Factory
1000333,Atari
1000334,Sega
1000334,Gremlin Industries
1000335,Taito
1000336,Gremlin Industries
1000336,Namco
1000338,Magnavox
1000340,"Synergistic Software, Inc."
1000341,Atari
1000341,"Atari, Inc."
1000342,Atari
1000342,Polyvox
1000343,Atari
1000343,"Atari, Inc."
1000345,Personal Software
1000346,Atari
1000347,Mattel Electronics
1000348,Magnavox
1000349,Bally Manufacturing
1000349,Dave Nutting Associates
1000350,Atari
1000351,Mattel Electronics
1000352,General Instrument Microelectronic
1000353,Muse Software
